082 01 Drienovská Nová Ves (PO)
913 03 Drietoma (TN)
980 03 Drňa (RS)
049 42 Drnava (RV)
991 02 Drnava (VK)
044 31 Družstevná pri Hornáde (KS)
935 03 Drženice (LV)
982 62 Držkovce (RA)
086 45 Dubie (BJ)
024 01 Dubie (KM)
086 12 Dubinné (BJ)
020 55 Dubková (PU)
972 01 Dubnica (PD)
018 41 Dubnica nad Váhom (IL)
957 03 Dubnička (BN)
941 35 Dubník (NZ)
082 07 Dubník (PO)
980 35 Dubno (RS)
913 23 Dubodiel (TN)
976 97 Dubová (BR)
900 90 Dubová (PK)
090 11 Dubová (SK)
922 08 Dubovany (PN)
908 62 Dubovce (SI)
038 23 Dubové (TR)
962 61 Dubové (ZV)
980 41 Dubovec (RS)
082 71 Dubovica (SB)
053 05 Dúbrava (LE)
032 12 Dúbrava (LM)
082 06 Dúbrava (PO)
067 73 Dúbrava (SV)
913 33 Dúbrava (TN)
991 02 Dúbrava (VK)
976 33 Dúbravica (BB)
072 15 Dúbravka (MI)
962 12 Dúbravy (DT)
922 21 Ducové (PN)
962 71 Dudince (KA)
962 52 Duchenec (KA)
086 44 Dukovce (SK)
038 11 Dulice (MT)
018 52 Dulov (IL)
029 63 Duľov (NO)
082 52 Dulova Ves (PO)
946 56 Dulovce (KN)
980 21 Dulovo (RS)
023 02 Dunajov (CA)
900 42 Dunajská Lužná (SC)
929 01 Dunajská Streda (DS)
930 21 Dunajský Klátov (DS)
091 01 Duplín (SP)
979 01 Dúžava (RS)
946 55 Dvor Mikuláš (NZ)
956 11 Dvorany nad Nitrou (TO)
956 55 Dvorec (BN)
038 45 Dvorec (TR)
076 62 Dvorianky (TV)
920 56 Dvorníky (HC)
962 68 Dvorníky (KA)
044 02 Dvorníky (KS)
044 02 Dvorníky - Včeláre (KS)
972 22 Dvorníky nad Nitricou (PD)
941 31 Dvory nad Žitavou (NZ)
952 01 Dyčka (NR)
082 71 Ďačov (SB)
038 42 Ďanová (MT)
094 05 Ďapalovce (VT)
945 01 Ďulov Dvor (KN)
015 01 Ďurčiná (ZA)
094 31 Ďurďoš (VT)
044 45 Ďurďošík (KS)
018 22 Ďurďové (PB)
044 19 Ďurkov (KS)
065 41 Ďurková (SL)
991 27 Ďurkovce (VK)
985 07 Ďubákovo (PT)
076 11 Egreš (TV)
930 38 Eliášovce (DS)
930 03 Etreho Kračany (DS)
013 15 Fačkov (ZA)
976 52 Fajtov (BR)
072 05 Falkušovce (MI)
972 46 Fančová (PD)
935 66 Farná (LV)
077 01 Fejséš (TV)
072 33 Fekišovce (SO)
032 14 Fiačice (LM)
982 51 Figa (RS)
